ANO_MES;ORGAO;NOME_ORGAO;SIGLA_ORGAO;APROVADA;DISTRIBUIDA;OCUPADA;VAGA;;;;;
202108;26264;UNIVERSIDADE FED. RURAL DO SEMI-ARIDO;UFERSA-RN;1305,;1259,;1235,;70,;;;;;
202108;26266;FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA;UNIPAMPA;1857,;1790,;1757,;100,;;;;;
202108;26267;UNIV.FED. DA INTEGRACAO LATINO-AMERICANA;UNILA;961,;928,;887,;74,;;;;;
202108;26268;FUND. UNIVERSIDADE FEDERAL DE RONDONIA;UNIR;1375,;1341,;1278,;97,;;;;;
202108;26269;UNIVERSIDADE DO RIO DE JANEIRO;UNIRIO;2463,;2457,;2337,;126,;;;;;
202108;26270;FUNDACAO UNIVERSIDADE DO AMAZONAS;FUAM;3466,;3430,;3268,;198,;;;;;
202108;26271;FUNDACAO UNIVERSIDADE DE BRASILIA;UNB;6079,;6001,;5741,;338,;;;;;
202108;26272;FUNDACAO UNIVERSIDADE DO MARANHAO;UFMA;3670,;3644,;3550,;120,;;;;;
202108;26273;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;2091,;2060,;1961,;130,;;;;;
202108;26274;FUNDACAO UNIV. FEDERAL DE UBERLANDIA;UFU;5065,;5026,;4872,;193,;;;;;
202108;26275;UNIVERSIDADE FEDERAL DO ACRE;UFAC;1519,;1482,;1429,;90,;;;;;
202108;26276;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;3612,;3527,;3225,;387,;;;;;
202108;26277;FUNDACAO UNIV. FEDERAL DE OURO PRETO;FUFOP;1728,;1700,;1644,;84,;;;;;
202108;26278;FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS;FUFPEL;2772,;2718,;2610,;162,;;;;;
202108;26279;UNIVERSIDADE FEDERAL DO PIAUI;UFPI;3106,;3058,;2919,;187,;;;;;
202108;26280;UNIVERSIDADE FEDERAL DE SAO CARLOS;FUFSCAR;2371,;2326,;2245,;126,;;;;;
202108;26281;FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE;FUFS;3098,;3051,;2975,;123,;;;;;
202108;26282;UNIVERSIDADE FEDERAL DE VICOSA;UFV;3409,;3372,;3249,;160,;;;;;
202108;26283;UNIV. FEDERAL DE MATO GROSSO DO SUL;UFMS;3489,;3447,;3337,;152,;;;;;
202108;26284;FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE;UFCSPA;588,;587,;580,;8,;;;;;
202108;26285;FUND. UNIVERSIDADE DE SAO JOAO DEL REI;FUNREI;1457,;1433,;1367,;90,;;;;;
202108;26286;FUNDACAO UNVERSIDADE FEDERAL DO AMAPA;UNIFAP;1218,;1182,;1123,;95,;;;;;
202108;26292;FUNDACAO JOAQUIM NABUCO;FJN;452,;452,;188,;264,;;;;;
202108;26298;FUND COORD APERF PESSOAL NIVEL SUPERIOR;CAPES;548,;498,;349,;199,;;;;;
202108;26350;FUND. UNIV FEDERAL DA GRANDE DOURADOS;UFGD;1589,;1569,;1521,;68,;;;;;
202108;26351;UNIV. FEDERAL DO RECONCAVO DA BAHIA;UFRB;1693,;1640,;1604,;89,;;;;;
202108;26352;FUNDACAO UNIVERSIDADE FEDERAL DO ABC;UFABC;1569,;1541,;1501,;68,;;;;;
202108;26401;INSTITUTO FEDERAL DO ACRE;IFAC;854,;759,;732,;122,;;;;;
202108;26402;INSTITUTO FEDERAL DE ALAGOAS;IFAL;1881,;1867,;1840,;41,;;;;;
202108;26403;INSTITUTO FEDERAL DO AMAZONAS;IFAM;1966,;1862,;1778,;188,;;;;;
202108;26404;INSTITUTO FEDERAL BAIANO;IFBAIANO;1963,;1767,;1707,;256,;;;;;
202108;26405;INSTITUTO FEDERAL DO CEARA;IFCE;3848,;3732,;3565,;283,;;;;;
202108;26406;INSTITUTO FEDERAL DO ESPIRITO SANTO;IFES;2923,;2919,;2855,;68,;;;;;
202108;26407;INSTITUTO FEDERAL GOIANO;IFGOIANO;1419,;1415,;1389,;30,;;;;;
202108;26408;INSTITUTO FEDERAL DO MARANHAO;IFMA;3262,;3231,;3177,;85,;;;;;
202108;26409;INSTITUTO FEDERAL DE MINAS GERAIS;IFMG;1913,;1904,;1881,;32,;;;;;
202108;26410;INSTITUTO FED. DO NORTE DE MINAS GERAIS;IFNORTEMG;1371,;1344,;1322,;49,;;;;;
202108;26411;INSTITUTO FED.DO SUDESTE DE MINAS GERAIS;IFSUDMG;1313,;1309,;1293,;20,;;;;;
202108;26412;INSTITUTO FEDERAL DO SUL DE MINAS GERAIS;IFSULMG;1150,;1144,;1135,;15,;;;;;
202108;26413;INSTITUTO FEDERAL DO TRIANGULO MINEIRO;IFTRIANMG;1167,;1159,;1142,;25,;;;;;
202108;26414;INSTITUTO FEDERAL DE MATO GROSSO;IFMT;2024,;1977,;1928,;96,;;;;;
202108;26415;INSTITUTO FEDERAL DE MATO GROSSO DO SUL;IFMS;1262,;1220,;1206,;56,;;;;;
202108;26416;INSTITUTO FEDERAL DO PARA;IFPA;2574,;2502,;2348,;226,;;;;;
202108;26417;INSTITUTO FEDERAL DA PARAIBA;IFPB;2377,;2367,;2337,;40,;;;;;
202108;26418;INSTITUTO FEDERAL DE PERNAMBUCO;IFPE;2386,;2355,;2290,;96,;;;;;
202108;26419;INSTITUTO FEDERAL DO RIO GRANDE DO SUL;IFRS;2182,;2159,;2114,;68,;;;;;
202108;26420;INSTITUTO FEDERAL FARROUPILHA;IFFARROUP;1465,;1462,;1439,;26,;;;;;
202108;26421;INSTITUTO FEDERAL DE RONDONIA;IFRO;1259,;1213,;1189,;70,;;;;;
202108;26422;INSTITUTO FEDERAL CATARINENSE;IFCATARINA;1861,;1825,;1774,;87,;;;;;
202108;26423;INSTITUTO FEDERAL DE SERGIPE;IFSE;1531,;1253,;1173,;358,;;;;;
202108;26424;INSTITUTO FEDERAL DO TOCANTINS;IFTO;1270,;1249,;1236,;34,;;;;;
202108;26426;INSTITUTO FEDERAL DO AMAPA;IFAP;682,;634,;616,;66,;;;;;
202108;26427;INSTITUTO FEDERAL DA BAHIA;IFBA;2993,;2786,;2621,;372,;;;;;
202108;26428;INSTITUTO FEDERAL DE BRASILIA;IFBRASILIA;1360,;1317,;1288,;72,;;;;;
202108;26429;INSTITUTO FEDERAL DE GOIAS;IFG;2091,;2061,;2013,;78,;;;;;
202108;26430;INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO;IFSERTPE;1040,;1022,;999,;41,;;;;;
202108;26431;INSTITUTO FEDERAL DO PIAUI;IFPI;2411,;2325,;2245,;166,;;;;;
202108;26432;INSTITUTO FEDERAL DO PARANA;IFPR;2582,;2292,;2239,;343,;;;;;
202108;26433;INSTITUTO FEDERAL DO RIO DE JANEIRO;IFRJ;2029,;1996,;1891,;138,;;;;;
202108;26434;INSTITUTO FEDERAL FLUMINENSE;IFFLU;1722,;1714,;1654,;68,;;;;;
202108;26435;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE;IFRN;2738,;2715,;2681,;57,;;;;;
202108;26436;INSTITUTO FEDERAL SUL RIO-GRANDENSE;IFSRIOGRAN;1838,;1833,;1770,;68,;;;;;
202108;26437;INSTITUTO FEDERAL DE RORAIMA;IFRR;724,;682,;651,;73,;;;;;
202108;26438;INSTITUTO FEDERAL DE SANTA CATARINA;IFSC;2673,;2650,;2593,;80,;;;;;
202108;26439;INSTITUTO FEDERAL DE SAO PAULO;IFSP;4621,;4588,;4526,;95,;;;;;
202108;26440;UNIVERSIDADE FEDERAL DA FRONTEIRA SUL;UFFS;1421,;1405,;1376,;45,;;;;;
202108;26441;UNIVERSIDADE FEDERAL DO OESTE DO PARA;UFOPA;1113,;1099,;1084,;29,;;;;;
202108;26442;UN. INT.INTERN. LUSOFONIA AFROBRASILEIRA;UNILAB;778,;742,;720,;58,;;;;;
202108;26447;UNIVERSIDADE FEDERAL DO OESTE DA BAHIA;UFOB;648,;621,;599,;49,;;;;;
202108;26448;UNIVERSIDADE FED. SUL SUDESTE DO PARA;UNIFESSPA;793,;759,;749,;44,;;;;;
202108;26449;UNIVERSIDADE FEDERAL DO CARIRI;UFCA;685,;630,;617,;68,;;;;;
202108;26450;UNIVERSIDADE FEDERAL DO SUL DA BAHIA;UFESBA;566,;560,;557,;9,;;;;;
202108;30202;FUNDACAO NACIONAL DO INDIO;FUNAI;3838,;2161,;1535,;2303,;;;;;
202108;30203;INST.NAC.METROLOGIA,NORM.E QUAL.INDL.;INMETRO;1950,;1411,;753,;1197,;;;;;
202108;30204;INSTITUTO NAC. DA PROPRIEDADE INDUSTRIAL;INPI;1857,;1402,;957,;900,;;;;;
202108;30802;DEPTO. DE POLICIA RODOVIARIA FEDERAL;DPRF;13844,;13844,;11425,;2419,;;;;;
202108;32000;MINISTERIO DE MINAS E ENERGIA;MME;721,;721,;168,;553,;;;;;
202108;32200;AGENCIA NACIONAL DE ENERGIA ELETRICA;ANEEL;776,;776,;598,;178,;;;;;
202108;32300;AGENCIA NAC PETROLEO GAS NAT BIOCOMBUSTI;ANP;812,;782,;701,;111,;;;;;
202108;32396;AGENCIA NACIONAL DE MINERACAO;ANM;2118,;839,;717,;1401,;;;;;
202108;33206;SUPERINT.NAC.DE PREVIDENCIA COMPLEMENTAR;PREVIC;231,;159,;75,;156,;;;;;
202108;35000;MINISTERIO DAS RELACOES EXTERIORES;MRE;5488,;3894,;2769,;2719,;;;;;
202108;35201;FUNDACAO ALEXANDRE DE GUSMAO;FAG;78,;69,;44,;34,;;;;;
202108;36201;FUNDACAO OSWALDO CRUZ;FIOCRUZ;6562,;6261,;4713,;1849,;;;;;
202108;36205;FUNDACAO NACIONAL DE SAUDE;FUNASA;4571,;4565,;1874,;2697,;;;;;
202108;36207;AGENCIA NACIONAL DE VIGILANCIA SANITARIA;ANVS;1685,;1670,;1586,;99,;;;;;
202108;36208;AGENCIA NACIONAL DE SAUDE SUPLEMENTAR;ANS;711,;679,;628,;83,;;;;;
202108;37000;DEFENSORIA PUBLICA DA UNIAO;DPU;2000,;1223,;1123,;877,;;;;;
202108;38000;CONSELHO ADMINIST.DE DEFESA ECONOMICA;CADE;52,;50,;40,;12,;;;;;
202108;39250;AGENCIA NAC. DE TRANSPORTES TERRESTRES;ANTT;1774,;1236,;1008,;766,;;;;;
202108;39251;AGENCIA NAC. DE TRANSPORTES AQUAVIARIOS;ANTAQ;478,;443,;370,;108,;;;;;
202108;39252;DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.;DNIT;4301,;3414,;2278,;2023,;;;;;
202108;40105;MINISTERIO DA DEFESA;MD;3034,;2688,;1447,;1587,;;;;;
202108;40106;ADVOCACIA-GERAL DA UNIAO;AGU;8726,;8671,;6696,;2030,;;;;;
202108;40108;MINISTERIO CIENCIA TEC.INOV.COMUNICACOES;MCTIC;5697,;4802,;3074,;2623,;;;;;
202108;40111;MINISTERIO DO MEIO AMBIENTE;MMA;1054,;705,;496,;558,;;;;;
202108;40112;MINISTERIO DO DESENVOLVIMENTO REGIONAL;MDR;1172,;831,;571,;601,;;;;;
202108;40202;FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA;ENAP;256,;256,;221,;35,;;;;;
202108;40301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;CNEN;3298,;2812,;1583,;1715,;;;;;
202108;40403;FUNDACAO CASA DE RUI BARBOSA;FCRB;148,;145,;95,;53,;;;;;
202108;40408;FUNDACAO CULTURAL PALMARES;FCP;25,;25,;23,;2,;;;;;
202108;40501;CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO;CNPQ;1040,;844,;356,;684,;;;;;
202108;40603;SUPERINTENDENCIA ZONA FRANCA DE MANAUS;SUFRAMA;594,;594,;433,;161,;;;;;
202108;40604;INSTITUTO BRASILEIRO DE TURISMO;EMBRATUR;87,;87,;,;87,;;;;;
202108;40701;INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS;IBAMA;6430,;6414,;2518,;3912,;;;;;
202108;40801;GOVERNO DO EX-TERRITORIO DO AMAPA;EX-TER/AP;6015,;5972,;5950,;65,;;;;;
202108;40803;GOVERNO DO EX-TERRITORIO DE RONDONIA;EX-TER/RO;5801,;5789,;5583,;218,;;;;;
202108;40804;GOVERNO DO EX-TERRITORIO DE RORAIMA;EX-TER/RR;2856,;2850,;2842,;14,;;;;;
202108;40806;DEP.DE CENTRAL.SERV.DE INATIVOS E PENS.;DECIP/SGP;7,;7,;,;7,;;;;;
202108;41100;MINISTERIO DAS COMUNICACOES;MCOM;87,;87,;87,;,;;;;;
202108;41231;AGENCIA NACIONAL DE TELECOMUNICACOES;ANATEL;1781,;1586,;1335,;446,;;;;;
202108;42201;INSTITUTO NAC. DE COLONIZ E REF AGRARIA;INCRA;6832,;4285,;3181,;3651,;;;;;
202108;42204;DEPTO. NACIONAL DE OBRAS CONTRA AS SECAS;DNOCS;1570,;1569,;767,;803,;;;;;
202108;42207;INSTITUTO BRASILEIRO DE MUSEUS;IBRAM;748,;603,;383,;365,;;;;;
202108;44205;AGENCIA NACIONAL DE AGUAS;ANA;397,;380,;294,;103,;;;;;
202108;44206;INSTITUTO DE PESQ. JARDIM BOTANICO DO RJ;JBRJ;216,;215,;122,;94,;;;;;
202108;44207;INSTITUTO CHICO MENDES CONSERV.BIODIVER.;ICMBIO;2875,;2227,;1413,;1462,;;;;;
202108;45203;COMISSAO DE VALORES MOBILIARIOS;CVM;600,;585,;434,;166,;;;;;
202108;45205;FUND. INST. BRASIL. GEOG. E ESTATISTICA;IBGE;11528,;11525,;4378,;7150,;;;;;
202108;45206;INSTITUTO DE PESQUISA ECONOMICA APLICADA;IPEA;702,;702,;328,;374,;;;;;
202108;45208;SUPERINTENDENCIA DE SEGUROS PRIVADOS;SUSEP;826,;533,;339,;487,;;;;;
202108;49000;MINISTERIO DA INFRAESTRUTURA;MINFRA;1004,;955,;432,;572,;;;;;
202108;52201;AGENCIA NACIONAL DE AVIACAO CIVIL;ANAC;1832,;1555,;1285,;547,;;;;;
202108;53202;SUPERINTENDENCIA DO DESENV. DA AMAZONIA;SUDAM;205,;195,;141,;64,;;;;;
202108;53203;SUPERINTENDENCIA DO DESENV. DO NORDESTE;SUDENE;233,;211,;179,;54,;;;;;
202108;53297;SUP.DE DESENVOLVIMENTO DO CENTRO OESTE;SUDECO;97,;97,;70,;27,;;;;;
202108;54000;MINISTERIO DO TURISMO;MTUR;851,;832,;721,;130,;;;;;
202108;55000;MINISTERIO DA CIDADANIA;MC;998,;760,;412,;586,;;;;;
202108;57201;FUND.JORGE DUPRAT FIG. SEG. MED.TRABALHO;F.CENTRO;502,;379,;192,;310,;;;;;
202108;57202;INSTITUTO NACIONAL DE SEGURO SOCIAL;INSS;43693,;42366,;20051,;23642,;;;;;
202108;59000;CONTROLADORIA-GERAL DA UNIAO;CGU;5080,;2176,;1869,;3211,;;;;;
202108;70000;COMANDO DA MARINHA;CM;9130,;8115,;3297,;5833,;;;;;
202108;81000;MIN. DA MULHER, FAMILIA E DIR. HUMANOS;MMFDH;89,;39,;38,;51,;;;;;
202108;98000;ORGAO CENTRAL DO SIPEC;SIPEC;5839,;,;,;5839,;;;;;
202109;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;12119,;11350,;6482,;5637,;;;;;
202109;15000;MINISTERIO DA EDUCACAO;MEC;35475,;1905,;729,;34746,;;;;;
202109;16000;COMANDO DO EXERCITO;C.EX;8203,;8201,;3895,;4308,;;;;;
202109;16100;FUNDACAO OSORIO;F OSORIO;97,;95,;62,;35,;;;;;
202109;17000;MINISTERIO DA ECONOMIA;ME;77225,;65687,;36792,;40433,;;;;;
202109;20000;MINIST. DA JUSTICA E SEGURANCA PUBLICA;MJ;3568,;3445,;2338,;1230,;;;;;
202109;20101;PRESIDENCIA DA REPUBLICA;PR;713,;271,;136,;577,;;;;;
202109;20114;AGENCIA BRASILEIRA DE INTELIGENCIA;ABIN;4068,;338,;207,;3861,;;;;;
202109;20115;DEPARTAMENTO DE POLICIA FEDERAL;DPF;17609,;17359,;13289,;4320,;;;;;
202109;20224;AGENCIA NACIONAL DO CINEMA;ANCINE;361,;361,;339,;22,;;;;;
202109;21000;COMANDO DA AERONAUTICA;C.AER;8702,;7738,;3415,;5287,;;;;;
202109;21201;CAIXA DE FINANCIAMENTO IMOB.AERONAUTICA;CFIA;69,;,;,;69,;;;;;
202109;21300;AGENCIA ESPACIAL BRASILEIRA;AEB;176,;176,;54,;122,;;;;;
202109;24203;FUNDACAO NACIONAL DE ARTES;FUNARTE;346,;346,;181,;165,;;;;;
202109;24204;INSTITUTO DO PATR.HIST.E ART. NACIONAL;IPHAN;1218,;1215,;949,;269,;;;;;
202109;24205;FUNDACAO BIBLIOTECA NACIONAL;FBN;455,;455,;274,;181,;;;;;
202109;25000;MINISTERIO DA SAUDE;MS;79583,;74878,;42802,;36781,;;;;;
202109;26104;INSTITUTO NACIONAL DE EDUCACAO DE SURDOS;INES;504,;500,;401,;103,;;;;;
202109;26105;INSTITUTO BENJAMIN CONSTANT;I.B.CONST;283,;282,;249,;34,;;;;;
202109;26106;FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO;FNDE;1124,;1104,;440,;684,;;;;;
202109;26107;INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS;INEP;617,;533,;385,;232,;;;;;
202109;26201;COLEGIO PEDRO II;C.PEDROII;2283,;2282,;2213,;70,;;;;;
202109;26230;FUND.UNIV.FED.DO VALE DO SAO FRANCISCO;UNIVASF;1042,;993,;967,;75,;;;;;
202109;26231;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;3517,;3488,;3373,;144,;;;;;
202109;26232;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;5954,;5954,;5582,;372,;;;;;
202109;26233;UNIVERSIDADE FEDERAL DO CEARA;UFCE;5728,;5647,;5417,;311,;;;;;
202109;26234;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;UFES;3934,;3905,;3704,;230,;;;;;
202109;26235;UNIVERSIDADE FEDERAL DE GOIAS;UFGO;5278,;5227,;5093,;185,;;;;;
202109;26236;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;7664,;7504,;6920,;744,;;;;;
202109;26237;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF;3286,;3234,;3124,;162,;;;;;
202109;26238;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;7709,;7663,;7267,;442,;;;;;
202109;26239;UNIVERSIDADE FEDERAL DO PARA;UFPA;5548,;5425,;5218,;330,;;;;;
202109;26240;UNIVERSIDADE FEDERAL DA PARAIBA;UFPB;6361,;6328,;5989,;372,;;;;;
202109;26241;UNIVERSIDADE FEDERAL DO PARANA;UFPR;6380,;6337,;5979,;401,;;;;;
202109;26242;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;6859,;6753,;6401,;458,;;;;;
202109;26243;UNIVERSIDADE FED. DO RIO GRANDE DO NORTE;UFRN;5661,;5632,;5367,;294,;;;;;
202109;26244;UNIVERSIDADE FED. DO RIO GRANDE DO SUL;UFRGS/RS;5616,;5588,;5410,;206,;;;;;
202109;26245;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;13765,;13647,;12937,;828,;;;;;
202109;26246;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;5875,;5815,;5553,;322,;;;;;
202109;26247;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM/RS;4801,;4736,;4539,;262,;;;;;
202109;26248;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;2484,;2443,;2391,;93,;;;;;
202109;26249;UNIV. FEDERAL RURAL DO RIO DE JANEIRO;UFRRJ;2440,;2426,;2344,;96,;;;;;
202109;26250;UNIVERSIDADE FEDERAL DE RORAIMA;UFRR;1082,;1061,;1009,;73,;;;;;
202109;26251;FUNDACAO UNIVERSIDADE FED. DO TOCANTINS;FUFT;2025,;1981,;1952,;73,;;;;;
202109;26252;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;3123,;3078,;2887,;236,;;;;;
202109;26253;UNIVERSIDADE FEDERAL RURAL DA AMAZONIA;UFRA;1204,;1131,;1106,;98,;;;;;
202109;26254;UNIVERSIDADE FED.DO TRIANGULO MINEIRO;UFTM;2154,;2116,;2031,;123,;;;;;
202109;26255;UNI.FED.VALES DO JEQUITINHONHA E MUCURI;UFVJM;1570,;1498,;1466,;104,;;;;;
202109;26256;CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA;CEFET/RJ;1574,;1557,;1448,;126,;;;;;
202109;26257;CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS;CEFET/MG;1646,;1641,;1602,;44,;;;;;
202109;26258;UNIVERS. TECNOLOGICA FEDERAL DO PARANA;UTFPR;3721,;3679,;3619,;102,;;;;;
202109;26260;UNIVERSIDADE FEDERAL DE ALFENAS;UNIFAL-MG;933,;918,;907,;26,;;;;;
202109;26261;UNIVERSIDADE FEDERAL DE ITAJUBA;UNIFEI;890,;875,;858,;32,;;;;;
202109;26262;UNIVERSIDADE FEDERAL DE SAO PAULO;UNIFESP;5755,;5703,;5407,;348,;;;;;
202109;26263;UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;1395,;1373,;1336,;59,;;;;;
202109;26264;UNIVERSIDADE FED. RURAL DO SEMI-ARIDO;UFERSA-RN;1305,;1259,;1234,;71,;;;;;
