ANO_MES;ORGAO;NOME_ORGAO;SIGLA_ORGAO;APROVADA;DISTRIBUIDA;OCUPADA;VAGA
202112;21201;CAIXA DE FINANCIAMENTO IMOB.AERONAUTICA;CFIA;69;0;0;69
202112;21300;AGENCIA ESPACIAL BRASILEIRA;AEB;176;176;53;123
202112;24203;FUNDACAO NACIONAL DE ARTES;FUNARTE;345;345;180;165
202112;24204;INSTITUTO DO PATR.HIST.E ART. NACIONAL;IPHAN;1.214,00;1.211,00;943;271
202112;24205;FUNDACAO BIBLIOTECA NACIONAL;FBN;455;455;274;181
202112;25000;MINISTERIO DA SAUDE;MS;79.231,00;74.526,00;42.153,00;37.078,00
202112;26104;INSTITUTO NACIONAL DE EDUCACAO DE SURDOS;INES;504;500;402;102
202112;26105;INSTITUTO BENJAMIN CONSTANT;I.B.CONST;283;281;250;33
202112;26106;FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO;FNDE;1.124,00;1.104,00;433;691
202112;26107;INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS;INEP;617;533;383;234
202112;26201;COLEGIO PEDRO II;C.PEDROII;2.283,00;2.283,00;2.206,00;77
202112;26230;FUND.UNIV.FED.DO VALE DO SAO FRANCISCO;UNIVASF;1.042,00;991;964;78
202112;26231;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;3.516,00;3.486,00;3.372,00;144
202112;26232;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;5.950,00;5.943,00;5.570,00;380
202112;26233;UNIVERSIDADE FEDERAL DO CEARA;UFCE;5.723,00;5.641,00;5.407,00;316
202112;26234;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;UFES;3.931,00;3.905,00;3.690,00;241
202112;26235;UNIVERSIDADE FEDERAL DE GOIAS;UFGO;5.276,00;5.213,00;5.077,00;199
202112;26236;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;7.669,00;7.503,00;6.935,00;734
202112;26237;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF;3.282,00;3.224,00;3.109,00;173
202112;26238;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;7.711,00;7.660,00;7.241,00;470
202112;26239;UNIVERSIDADE FEDERAL DO PARA;UFPA;5.545,00;5.426,00;5.214,00;331
202112;26240;UNIVERSIDADE FEDERAL DA PARAIBA;UFPB;6.358,00;6.325,00;5.986,00;372
202112;26241;UNIVERSIDADE FEDERAL DO PARANA;UFPR;6.379,00;6.333,00;5.958,00;421
202112;26242;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;6.851,00;6.739,00;6.387,00;464
202112;26243;UNIVERSIDADE FED. DO RIO GRANDE DO NORTE;UFRN;5.669,00;5.627,00;5.386,00;283
202112;26244;UNIVERSIDADE FED. DO RIO GRANDE DO SUL;UFRGS/RS;5.614,00;5.587,00;5.392,00;222
202112;26245;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;13.756,00;13.635,00;12.937,00;819
202112;26246;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;5.872,00;5.805,00;5.538,00;334
202112;26247;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM/RS;4.801,00;4.723,00;4.538,00;263
202112;26248;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;2.483,00;2.440,00;2.385,00;98
202112;26249;UNIV. FEDERAL RURAL DO RIO DE JANEIRO;UFRRJ;2.438,00;2.424,00;2.334,00;104
202112;26250;UNIVERSIDADE FEDERAL DE RORAIMA;UFRR;1.081,00;1.059,00;998;83
202112;26251;FUNDACAO UNIVERSIDADE FED. DO TOCANTINS;FUFT;2.027,00;1.980,00;1.948,00;79
202112;26252;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;3.122,00;3.074,00;2.877,00;245
202112;26253;UNIVERSIDADE FEDERAL RURAL DA AMAZONIA;UFRA;1.204,00;1.127,00;1.106,00;98
202112;26254;UNIVERSIDADE FED.DO TRIANGULO MINEIRO;UFTM;2.164,00;2.102,00;2.013,00;151
202112;26255;UNI.FED.VALES DO JEQUITINHONHA E MUCURI;UFVJM;1.570,00;1.495,00;1.458,00;112
202112;26256;CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA;CEFET/RJ;1.574,00;1.558,00;1.440,00;134
202112;26257;CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS;CEFET/MG;1.647,00;1.642,00;1.599,00;48
202112;26258;UNIVERS. TECNOLOGICA FEDERAL DO PARANA;UTFPR;3.720,00;3.674,00;3.601,00;119
202112;26260;UNIVERSIDADE FEDERAL DE ALFENAS;UNIFAL-MG;933;917;907;26
202112;26261;UNIVERSIDADE FEDERAL DE ITAJUBA;UNIFEI;890;875;857;33
202112;26262;UNIVERSIDADE FEDERAL DE SAO PAULO;UNIFESP;5.752,00;5.702,00;5.430,00;322
202112;26263;UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;1.394,00;1.372,00;1.335,00;59
202112;26264;UNIVERSIDADE FED. RURAL DO SEMI-ARIDO;UFERSA-RN;1.302,00;1.253,00;1.230,00;72
202112;26266;FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA;UNIPAMPA;1.858,00;1.781,00;1.754,00;104
202112;26267;UNIV.FED. DA INTEGRACAO LATINO-AMERICANA;UNILA;960;930;882;78
202112;26268;FUND. UNIVERSIDADE FEDERAL DE RONDONIA;UNIR;1.375,00;1.342,00;1.277,00;98
202112;26269;UNIVERSIDADE DO RIO DE JANEIRO;UNIRIO;2.461,00;2.457,00;2.310,00;151
202112;26270;FUNDACAO UNIVERSIDADE DO AMAZONAS;FUAM;3.461,00;3.416,00;3.253,00;208
202112;26271;FUNDACAO UNIVERSIDADE DE BRASILIA;UNB;6.076,00;5.994,00;5.718,00;358
202112;26272;FUNDACAO UNIVERSIDADE DO MARANHAO;UFMA;3.664,00;3.635,00;3.530,00;134
202112;26273;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;2.091,00;2.058,00;1.953,00;138
202112;26274;FUNDACAO UNIV. FEDERAL DE UBERLANDIA;UFU;5.064,00;5.013,00;4.858,00;206
202112;26275;UNIVERSIDADE FEDERAL DO ACRE;UFAC;1.519,00;1.479,00;1.420,00;99
202112;26276;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;3.616,00;3.526,00;3.264,00;352
202112;26277;FUNDACAO UNIV. FEDERAL DE OURO PRETO;FUFOP;1.732,00;1.699,00;1.640,00;92
202112;26278;FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS;FUFPEL;2.771,00;2.718,00;2.613,00;158
202112;26279;UNIVERSIDADE FEDERAL DO PIAUI;UFPI;3.104,00;3.051,00;2.916,00;188
202112;26280;UNIVERSIDADE FEDERAL DE SAO CARLOS;FUFSCAR;2.368,00;2.323,00;2.248,00;120
202112;26281;FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE;FUFS;3.096,00;3.041,00;2.957,00;139
202112;26282;UNIVERSIDADE FEDERAL DE VICOSA;UFV;3.392,00;3.353,00;3.224,00;168
202112;26283;UNIV. FEDERAL DE MATO GROSSO DO SUL;UFMS;3.497,00;3.443,00;3.308,00;189
202112;26284;FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE;UFCSPA;588;587;583;5
202112;26285;FUND. UNIVERSIDADE DE SAO JOAO DEL REI;FUNREI;1.457,00;1.431,00;1.367,00;90
202112;26286;FUNDACAO UNVERSIDADE FEDERAL DO AMAPA;UNIFAP;1.217,00;1.179,00;1.118,00;99
202112;26292;FUNDACAO JOAQUIM NABUCO;FJN;452;452;182;270
202112;26298;FUND COORD APERF PESSOAL NIVEL SUPERIOR;CAPES;548;498;348;200
202112;26350;FUND. UNIV FEDERAL DA GRANDE DOURADOS;UFGD;1.589,00;1.567,00;1.513,00;76
202112;26351;UNIV. FEDERAL DO RECONCAVO DA BAHIA;UFRB;1.694,00;1.641,00;1.604,00;90
202112;26352;FUNDACAO UNIVERSIDADE FEDERAL DO ABC;UFABC;1.568,00;1.536,00;1.498,00;70
202112;26401;INSTITUTO FEDERAL DO ACRE;IFAC;854;755;726;128
202112;26402;INSTITUTO FEDERAL DE ALAGOAS;IFAL;1.881,00;1.868,00;1.847,00;34
202112;26403;INSTITUTO FEDERAL DO AMAZONAS;IFAM;1.963,00;1.864,00;1.784,00;179
202112;26404;INSTITUTO FEDERAL BAIANO;IFBAIANO;1.963,00;1.792,00;1.715,00;248
202112;26405;INSTITUTO FEDERAL DO CEARA;IFCE;3.848,00;3.730,00;3.552,00;296
202112;26406;INSTITUTO FEDERAL DO ESPIRITO SANTO;IFES;2.924,00;2.914,00;2.845,00;79
202112;26407;INSTITUTO FEDERAL GOIANO;IFGOIANO;1.418,00;1.414,00;1.384,00;34
202112;26408;INSTITUTO FEDERAL DO MARANHAO;IFMA;3.257,00;3.227,00;3.175,00;82
202112;26409;INSTITUTO FEDERAL DE MINAS GERAIS;IFMG;1.912,00;1.902,00;1.877,00;35
202112;26410;INSTITUTO FED. DO NORTE DE MINAS GERAIS;IFNORTEMG;1.370,00;1.350,00;1.337,00;33
202112;26411;INSTITUTO FED.DO SUDESTE DE MINAS GERAIS;IFSUDMG;1.312,00;1.310,00;1.295,00;17
202112;26412;INSTITUTO FEDERAL DO SUL DE MINAS GERAIS;IFSULMG;1.150,00;1.143,00;1.130,00;20
202112;26413;INSTITUTO FEDERAL DO TRIANGULO MINEIRO;IFTRIANMG;1.167,00;1.155,00;1.139,00;28
202112;26414;INSTITUTO FEDERAL DE MATO GROSSO;IFMT;2.025,00;1.974,00;1.922,00;103
202112;26415;INSTITUTO FEDERAL DE MATO GROSSO DO SUL;IFMS;1.262,00;1.221,00;1.205,00;57
202112;26416;INSTITUTO FEDERAL DO PARA;IFPA;2.572,00;2.506,00;2.351,00;221
202112;26417;INSTITUTO FEDERAL DA PARAIBA;IFPB;2.376,00;2.369,00;2.333,00;43
202112;26418;INSTITUTO FEDERAL DE PERNAMBUCO;IFPE;2.385,00;2.356,00;2.299,00;86
202112;26419;INSTITUTO FEDERAL DO RIO GRANDE DO SUL;IFRS;2.182,00;2.160,00;2.120,00;62
202112;26420;INSTITUTO FEDERAL FARROUPILHA;IFFARROUP;1.463,00;1.451,00;1.424,00;39
202112;26421;INSTITUTO FEDERAL DE RONDONIA;IFRO;1.260,00;1.211,00;1.187,00;73
202112;26422;INSTITUTO FEDERAL CATARINENSE;IFCATARINA;1.859,00;1.818,00;1.758,00;101
202112;26423;INSTITUTO FEDERAL DE SERGIPE;IFSE;1.530,00;1.252,00;1.169,00;361
202112;26424;INSTITUTO FEDERAL DO TOCANTINS;IFTO;1.269,00;1.243,00;1.230,00;39
202112;26426;INSTITUTO FEDERAL DO AMAPA;IFAP;682;636;618;64
202112;26427;INSTITUTO FEDERAL DA BAHIA;IFBA;2.994,00;2.785,00;2.614,00;380
202112;26428;INSTITUTO FEDERAL DE BRASILIA;IFBRASILIA;1.359,00;1.318,00;1.285,00;74
202112;26429;INSTITUTO FEDERAL DE GOIAS;IFG;2.089,00;2.058,00;2.006,00;83
202112;26430;INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO;IFSERTPE;1.040,00;1.030,00;1.013,00;27
202112;26431;INSTITUTO FEDERAL DO PIAUI;IFPI;2.411,00;2.325,00;2.236,00;175
202112;26432;INSTITUTO FEDERAL DO PARANA;IFPR;2.583,00;2.297,00;2.257,00;326
202112;26433;INSTITUTO FEDERAL DO RIO DE JANEIRO;IFRJ;2.028,00;1.995,00;1.880,00;148
202112;26434;INSTITUTO FEDERAL FLUMINENSE;IFFLU;1.720,00;1.713,00;1.656,00;64
202112;26435;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE;IFRN;2.737,00;2.715,00;2.680,00;57
202112;26436;INSTITUTO FEDERAL SUL RIO-GRANDENSE;IFSRIOGRAN;1.838,00;1.832,00;1.768,00;70
202112;26437;INSTITUTO FEDERAL DE RORAIMA;IFRR;724;685;655;69
202112;26438;INSTITUTO FEDERAL DE SANTA CATARINA;IFSC;2.674,00;2.647,00;2.594,00;80
202112;26439;INSTITUTO FEDERAL DE SAO PAULO;IFSP;4.623,00;4.595,00;4.531,00;92
202112;26440;UNIVERSIDADE FEDERAL DA FRONTEIRA SUL;UFFS;1.425,00;1.405,00;1.380,00;45
202112;26441;UNIVERSIDADE FEDERAL DO OESTE DO PARA;UFOPA;1.112,00;1.097,00;1.083,00;29
202112;26442;UN. INT.INTERN. LUSOFONIA AFROBRASILEIRA;UNILAB;778;740;720;58
202112;26447;UNIVERSIDADE FEDERAL DO OESTE DA BAHIA;UFOB;648;623;598;50
202112;26448;UNIVERSIDADE FED. SUL SUDESTE DO PARA;UNIFESSPA;793;758;742;51
202112;26449;UNIVERSIDADE FEDERAL DO CARIRI;UFCA;685;628;615;70
202112;26450;UNIVERSIDADE FEDERAL DO SUL DA BAHIA;UFESBA;566;561;557;9
202112;30202;FUNDACAO NACIONAL DO INDIO;FUNAI;3.811,00;2.134,00;1.496,00;2.315,00
202112;30203;INST.NAC.METROLOGIA,NORM.E QUAL.INDL.;INMETRO;1.950,00;1.411,00;736;1.214,00
202112;30204;INSTITUTO NAC. DA PROPRIEDADE INDUSTRIAL;INPI;1.857,00;1.402,00;951;906
202112;30802;DEPTO. DE POLICIA RODOVIARIA FEDERAL;DPRF;13.839,00;13.839,00;11.387,00;2.452,00
202112;32000;MINISTERIO DE MINAS E ENERGIA;MME;721;721;168;553
202112;32200;AGENCIA NACIONAL DE ENERGIA ELETRICA;ANEEL;776;776;597;179
202112;32300;AGENCIA NAC PETROLEO GAS NAT BIOCOMBUSTI;ANP;812;782;699;113
202112;32396;AGENCIA NACIONAL DE MINERACAO;ANM;2.117,00;838;705;1.412,00
202112;33206;SUPERINT.NAC.DE PREVIDENCIA COMPLEMENTAR;PREVIC;231;159;74;157
202112;35000;MINISTERIO DAS RELACOES EXTERIORES;MRE;5.485,00;3.891,00;2.758,00;2.727,00
202112;35201;FUNDACAO ALEXANDRE DE GUSMAO;FAG;78;69;44;34
202112;36201;FUNDACAO OSWALDO CRUZ;FIOCRUZ;6.561,00;6.260,00;4.695,00;1.866,00
202112;36205;FUNDACAO NACIONAL DE SAUDE;FUNASA;4.548,00;4.542,00;1.839,00;2.709,00
202112;36207;AGENCIA NACIONAL DE VIGILANCIA SANITARIA;ANVS;1.675,00;1.660,00;1.572,00;103
202112;36208;AGENCIA NACIONAL DE SAUDE SUPLEMENTAR;ANS;711;679;625;86
202112;37000;DEFENSORIA PUBLICA DA UNIAO;DPU;2.000,00;1.223,00;1.119,00;881
202112;38000;CONSELHO ADMINIST.DE DEFESA ECONOMICA;CADE;52;50;40;12
202112;39250;AGENCIA NAC. DE TRANSPORTES TERRESTRES;ANTT;1.770,00;1.232,00;1.001,00;769
202112;39251;AGENCIA NAC. DE TRANSPORTES AQUAVIARIOS;ANTAQ;478;443;369;109
202112;39252;DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.;DNIT;4.297,00;3.410,00;2.261,00;2.036,00
202112;40105;MINISTERIO DA DEFESA;MD;3.025,00;2.679,00;1.421,00;1.604,00
202112;40106;ADVOCACIA-GERAL DA UNIAO;AGU;8.893,00;8.839,00;6.822,00;2.071,00
202112;40108;MINISTERIO CIENCIA TEC.INOV.COMUNICACOES;MCTIC;5.695,00;4.800,00;3.038,00;2.657,00
202112;40111;MINISTERIO DO MEIO AMBIENTE;MMA;1.054,00;705;496;558
202112;40112;MINISTERIO DO DESENVOLVIMENTO REGIONAL;MDR;1.172,00;831;567;605
202112;40202;FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA;ENAP;253;253;217;36
202112;40301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;CNEN;3.298,00;2.812,00;1.570,00;1.728,00
202112;40403;FUNDACAO CASA DE RUI BARBOSA;FCRB;148;145;95;53
202112;40408;FUNDACAO CULTURAL PALMARES;FCP;25;25;23;2
202112;40501;CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO;CNPQ;1.040,00;844;352;688
202112;40603;SUPERINTENDENCIA ZONA FRANCA DE MANAUS;SUFRAMA;594;594;427;167
202112;40604;INSTITUTO BRASILEIRO DE TURISMO;EMBRATUR;87;87;0;87
202112;40701;INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS;IBAMA;6.427,00;6.411,00;2.484,00;3.943,00
202112;40801;GOVERNO DO EX-TERRITORIO DO AMAPA;EX-TER/AP;5.976,00;5.934,00;5.910,00;66
202112;40803;GOVERNO DO EX-TERRITORIO DE RONDONIA;EX-TER/RO;5.759,00;5.757,00;5.530,00;229
202112;40804;GOVERNO DO EX-TERRITORIO DE RORAIMA;EX-TER/RR;2.767,00;2.761,00;2.753,00;14
202112;40806;DEP.DE CENTRAL.SERV.DE INATIVOS E PENS.;DECIP/SGP;7;7;0;7
202112;41100;MINISTERIO DAS COMUNICACOES;MCOM;86;86;82;4
202112;41231;AGENCIA NACIONAL DE TELECOMUNICACOES;ANATEL;1.779,00;1.584,00;1.328,00;451
202112;42201;INSTITUTO NAC. DE COLONIZ E REF AGRARIA;INCRA;6.724,00;4.177,00;3.060,00;3.664,00
202112;42204;DEPTO. NACIONAL DE OBRAS CONTRA AS SECAS;DNOCS;1.555,00;1.554,00;746;809
202112;42207;INSTITUTO BRASILEIRO DE MUSEUS;IBRAM;746;601;379;367
202112;44205;AGENCIA NACIONAL DE AGUAS;ANA;397;380;292;105
202112;44206;INSTITUTO DE PESQ. JARDIM BOTANICO DO RJ;JBRJ;216;215;121;95
202112;44207;INSTITUTO CHICO MENDES CONSERV.BIODIVER.;ICMBIO;2.875,00;2.227,00;1.395,00;1.480,00
202112;45203;COMISSAO DE VALORES MOBILIARIOS;CVM;600;585;434;166
202112;45205;FUND. INST. BRASIL. GEOG. E ESTATISTICA;IBGE;11.528,00;11.525,00;4.322,00;7.206,00
202112;45206;INSTITUTO DE PESQUISA ECONOMICA APLICADA;IPEA;698;698;323;375
202112;45208;SUPERINTENDENCIA DE SEGUROS PRIVADOS;SUSEP;826;533;337;489
202112;49000;MINISTERIO DA INFRAESTRUTURA;MINFRA;1.000,00;951;429;571
202112;52201;AGENCIA NACIONAL DE AVIACAO CIVIL;ANAC;1.832,00;1.555,00;1.282,00;550
202112;53202;SUPERINTENDENCIA DO DESENV. DA AMAZONIA;SUDAM;203;193;138;65
202112;53203;SUPERINTENDENCIA DO DESENV. DO NORDESTE;SUDENE;231;209;175;56
202112;53297;SUP.DE DESENVOLVIMENTO DO CENTRO OESTE;SUDECO;97;97;70;27
202112;54000;MINISTERIO DO TURISMO;MTUR;850;831;718;132
202112;55000;MINISTERIO DA CIDADANIA;MC;998;760;412;586
202112;57201;FUND.JORGE DUPRAT FIG. SEG. MED.TRABALHO;F.CENTRO;502;379;188;314
202112;57202;INSTITUTO NACIONAL DE SEGURO SOCIAL;INSS;43.622,00;42.295,00;19.792,00;23.830,00
202112;59000;CONTROLADORIA-GERAL DA UNIAO;CGU;5.080,00;2.176,00;1.864,00;3.216,00
202112;70000;COMANDO DA MARINHA;CM;9.082,00;8.067,00;3.197,00;5.885,00
202112;81000;MIN. DA MULHER, FAMILIA E DIR. HUMANOS;MMFDH;89;39;37;52
202112;98000;ORGAO CENTRAL DO SIPEC;SIPEC;5.841,00;0;0;5.841,00
202201;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;12.093,00;11.323,00;6.384,00;5.709,00
202201;15000;MINISTERIO DA EDUCACAO;MEC;35.236,00;1.896,00;707;34.529,00
202201;16000;COMANDO DO EXERCITO;C.EX;8.116,00;8.114,00;3.754,00;4.362,00
202201;16100;FUNDACAO OSORIO;F OSORIO;96;94;60;36
202201;17000;MINISTERIO DA ECONOMIA;ME;76.803,00;65.270,00;36.257,00;40.546,00
202201;20000;MINIST. DA JUSTICA E SEGURANCA PUBLICA;MJ;3.564,00;3.441,00;2.316,00;1.248,00
202201;20101;PRESIDENCIA DA REPUBLICA;PR;708;266;131;577
202201;20114;AGENCIA BRASILEIRA DE INTELIGENCIA;ABIN;4.553,00;832;551;4.002,00
202201;20115;DEPARTAMENTO DE POLICIA FEDERAL;DPF;17.595,00;17.345,00;13.467,00;4.128,00
202201;20224;AGENCIA NACIONAL DO CINEMA;ANCINE;361;361;337;24
202201;21000;COMANDO DA AERONAUTICA;C.AER;8.668,00;7.704,00;3.321,00;5.347,00
202201;21201;CAIXA DE FINANCIAMENTO IMOB.AERONAUTICA;CFIA;69;0;0;69
202201;21300;AGENCIA ESPACIAL BRASILEIRA;AEB;176;176;53;123
202201;24203;FUNDACAO NACIONAL DE ARTES;FUNARTE;345;345;179;166
202201;24204;INSTITUTO DO PATR.HIST.E ART. NACIONAL;IPHAN;1.211,00;1.208,00;935;276
202201;24205;FUNDACAO BIBLIOTECA NACIONAL;FBN;455;455;274;181
202201;25000;MINISTERIO DA SAUDE;MS;79.157,00;74.452,00;41.998,00;37.159,00
202201;26104;INSTITUTO NACIONAL DE EDUCACAO DE SURDOS;INES;504;500;401;103
202201;26105;INSTITUTO BENJAMIN CONSTANT;I.B.CONST;283;281;250;33
